epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1927.33,1.0393,1.27721,1.075,0.00841,0.17792,0.54688,0.48234,0.52796,0.33265,0.54339,0.48159,0.52914,0.29751,1.50657,1.92458,2.2307,0.02025,0,0.000179179,0.000179179,0.000179179
29,1994.92,1.04288,1.32962,1.0682,0.00821,0.1736,0.56698,0.49844,0.53683,0.36364,0.61495,0.43362,0.53666,0.31653,1.48468,2.00419,2.25761,0.02016,0,0.000171556,0.000171556,0.000171556
30,2068.29,1.03133,1.26672,1.00629,0.00825,0.1619,0.59587,0.4511,0.51526,0.33159,0.6034,0.45572,0.50304,0.2914,1.55947,2.07052,2.1705,0.02314,0,0.000163933,0.000163933,0.000163933
31,2136.43,1.00616,1.24028,1.02641,0.00838,0.16697,0.63872,0.45972,0.52763,0.33739,0.61832,0.4428,0.50293,0.29088,1.54329,2.22447,2.26631,0.02239,0,0.00015631,0.00015631,0.00015631
32,2204.37,1.04314,1.2682,1.04392,0.00803,0.16758,0.63561,0.45852,0.47078,0.30801,0.66715,0.4328,0.46703,0.271,1.52669,2.26186,2.2317,0.0218,0,0.000148687,0.000148687,0.000148687
33,2272.4,0.98756,1.21802,0.99404,0.00791,0.16749,0.61126,0.45836,0.48916,0.32839,0.58555,0.4309,0.48515,0.29574,1.48762,2.45884,2.29389,0.0209,0,0.000141064,0.000141064,0.000141064
34,2340.69,0.96731,1.20987,0.95086,0.00769,0.16485,0.7178,0.41843,0.49891,0.34184,0.74354,0.43336,0.50194,0.29338,1.5645,2.20615,2.17664,0.02302,0,0.000133441,0.000133441,0.000133441
35,2408.51,0.99679,1.21821,0.97592,0.00772,0.15638,0.61451,0.48258,0.53004,0.36748,0.685,0.43748,0.53078,0.32729,1.51227,2.30969,2.17876,0.02057,0,0.000125818,0.000125818,0.000125818
36,2479.84,0.95772,1.20206,0.92593,0.00752,0.15732,0.60702,0.43663,0.48655,0.32743,0.72071,0.40157,0.49167,0.28857,1.49708,2.283,2.16909,0.02088,0,0.000118195,0.000118195,0.000118195
37,2546.96,0.96532,1.17147,0.90499,0.00788,0.16024,0.67537,0.39406,0.51308,0.33434,0.62016,0.40781,0.47425,0.26992,1.53586,2.21549,2.20111,0.02171,0,0.000110572,0.000110572,0.000110572
38,2614.25,0.95748,1.17563,0.91207,0.00735,0.14701,0.65593,0.4416,0.50788,0.34303,0.66279,0.43826,0.47782,0.27856,1.50905,2.23034,2.20479,0.02181,0,0.000102949,0.000102949,0.000102949
39,2681.36,0.93594,1.18776,0.87619,0.00761,0.14677,0.66214,0.45659,0.52213,0.35513,0.65809,0.44744,0.51101,0.3018,1.4986,2.09993,2.19497,0.02165,0,9.5326e-05,9.5326e-05,9.5326e-05
40,2753.98,0.9678,1.15729,0.89008,0.00741,0.14545,0.64127,0.47645,0.53875,0.36889,0.68757,0.43758,0.52321,0.31408,1.51719,2.44686,2.18707,0.02152,0,8.7703e-05,8.7703e-05,8.7703e-05
41,2820.89,0.93034,1.02338,0.76155,0.00946,0.07658,0.60469,0.46782,0.49253,0.34418,0.64521,0.44528,0.48669,0.2929,1.49009,2.45292,2.29411,0.02074,0,8.008e-05,8.008e-05,8.008e-05
42,2890.97,0.94277,1.02927,0.73299,0.01004,0.07535,0.64929,0.48754,0.49524,0.3417,0.63805,0.47754,0.49204,0.28558,1.5447,2.24175,2.27307,0.02207,0,7.2457e-05,7.2457e-05,7.2457e-05
43,2958.12,0.92338,1.04462,0.74918,0.00989,0.07958,0.59096,0.5057,0.492,0.34583,0.60954,0.48999,0.49242,0.30254,1.57183,2.3277,2.25533,0.02226,0,6.4834e-05,6.4834e-05,6.4834e-05
44,3025.47,0.90742,1.01591,0.71807,0.00915,0.07763,0.65463,0.46138,0.53235,0.37608,0.65628,0.45908,0.54082,0.33757,1.47657,2.23217,2.25704,0.02025,0,5.7211e-05,5.7211e-05,5.7211e-05
45,3092.55,0.92254,1.0613,0.70051,0.00922,0.06816,0.70349,0.42732,0.52577,0.36554,0.70125,0.43189,0.53238,0.32121,1.50889,2.21938,2.26833,0.02117,0,4.9588e-05,4.9588e-05,4.9588e-05
46,3158.34,0.91697,0.99567,0.71227,0.00911,0.06913,0.70084,0.44342,0.52316,0.3693,0.71751,0.44661,0.5372,0.33794,1.45285,2.18066,2.30529,0.01981,0,4.1965e-05,4.1965e-05,4.1965e-05
47,3224.09,0.92572,1.03946,0.7071,0.00894,0.06728,0.64747,0.45638,0.5172,0.36225,0.65701,0.4605,0.52382,0.32641,1.49877,2.27984,2.32341,0.02076,0,3.4342e-05,3.4342e-05,3.4342e-05
48,3289.54,0.88444,0.99267,0.68626,0.00883,0.07305,0.60523,0.48727,0.52188,0.36165,0.60922,0.48963,0.52298,0.31532,1.49124,2.23595,2.28059,0.02066,0,2.6719e-05,2.6719e-05,2.6719e-05
49,3354.95,0.93227,1.07709,0.69091,0.00932,0.07068,0.7009,0.45453,0.53547,0.37343,0.69008,0.46652,0.53709,0.3239,1.46112,2.25391,2.28028,0.02015,0,1.9096e-05,1.9096e-05,1.9096e-05
50,3420.57,0.88096,1.00787,0.64866,0.00835,0.06538,0.68926,0.44775,0.50017,0.3503,0.69517,0.45186,0.50072,0.30414,1.47448,2.24394,2.26943,0.02042,0,1.1473e-05,1.1473e-05,1.1473e-05
