epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,325.193,1.23606,1.14735,1.42582,0.0095,0.63311,0.45451,0.41728,0.49546,0.34105,0.45451,0.41728,0.49375,0.33227,1.40194,1.43528,2.00802,0.00856,0,0.00081403,0.00081403,0.00081403
29,336.083,1.23003,1.17698,1.40265,0.00931,0.6315,0.52582,0.775,0.61552,0.42923,0.50505,0.80625,0.61892,0.37777,1.39661,1.34129,1.80793,0.00862,0,0.000803031,0.000803031,0.000803031
30,347.028,1.19013,1.08967,1.28933,0.00897,0.58156,0.36468,0.68817,0.58816,0.42417,0.36468,0.68817,0.60299,0.40058,1.41406,1.38864,1.86576,0.0088,0,0.000792032,0.000792032,0.000792032
31,357.994,1.21689,1.18145,1.37805,0.0096,0.62486,0.67849,0.39375,0.54944,0.38467,0.76272,0.41468,0.58368,0.32977,1.49934,1.40849,2.03157,0.01003,0,0.000781033,0.000781033,0.000781033
32,368.959,1.19751,1.10258,1.33867,0.00923,0.61165,0.48839,0.68554,0.57542,0.40091,0.5186,0.70826,0.6094,0.37782,1.42312,1.2872,1.78869,0.00904,0,0.000770034,0.000770034,0.000770034
33,379.935,1.20827,1.13687,1.30648,0.00891,0.64381,0.55331,0.74396,0.61016,0.39053,0.58685,0.76875,0.63311,0.35317,1.36948,1.49024,2.10454,0.00877,0,0.000759035,0.000759035,0.000759035
34,390.831,1.19511,1.17815,1.33436,0.0093,0.58142,0.68621,0.76875,0.78273,0.52439,0.6924,0.77123,0.80731,0.43966,1.37491,1.38668,2.13528,0.00867,0,0.000748036,0.000748036,0.000748036
35,402.217,1.18092,1.19995,1.23474,0.00846,0.59652,0.68106,0.44203,0.53632,0.33055,0.70177,0.45321,0.55778,0.2731,1.36798,1.29587,2.09617,0.00857,0,0.000737037,0.000737037,0.000737037
36,413.066,1.15032,1.11701,1.26107,0.00847,0.57756,0.85646,0.49659,0.66377,0.50256,0.85646,0.49659,0.67965,0.42994,1.26472,1.23647,2.00295,0.00735,0,0.000726038,0.000726038,0.000726038
37,424.077,1.19833,1.19631,1.28517,0.00894,0.58274,0.42242,0.66271,0.56026,0.39875,0.45215,0.69862,0.56992,0.3772,1.33042,1.23056,2.03785,0.00867,0,0.00071504,0.00071504,0.00071504
38,435.057,1.15234,1.10969,1.26126,0.00855,0.58636,0.57001,0.69375,0.64183,0.44226,0.58622,0.70625,0.6457,0.3664,1.36411,1.25511,1.64344,0.00864,0,0.000704041,0.000704041,0.000704041
39,445.974,1.11082,1.07604,1.24559,0.00844,0.59718,0.76096,0.43039,0.50995,0.32653,0.76096,0.43039,0.51383,0.30653,1.28058,1.28189,2.15567,0.00787,0,0.000693042,0.000693042,0.000693042
40,456.894,1.13823,1.18324,1.23173,0.0085,0.56404,0.7118,0.74375,0.75699,0.51478,0.7118,0.74375,0.75263,0.38618,1.3734,1.64656,2.00828,0.00872,0,0.000682043,0.000682043,0.000682043
41,467.857,1.08539,1.14196,1.15838,0.0079,0.56714,0.83102,0.51961,0.5726,0.40233,0.85473,0.53211,0.59347,0.37949,1.36296,1.25415,1.8273,0.00907,0,0.000671044,0.000671044,0.000671044
42,478.762,1.10038,1.08749,1.12684,0.00797,0.55193,0.82149,0.53062,0.68744,0.47826,0.84337,0.54312,0.6922,0.41811,1.29569,1.29493,1.69759,0.00817,0,0.000660045,0.000660045,0.000660045
43,489.805,1.10313,1.12724,1.24023,0.00828,0.58928,0.76634,0.71875,0.75432,0.52622,0.76634,0.71875,0.76998,0.38441,1.33494,1.21163,2.46884,0.00839,0,0.000649046,0.000649046,0.000649046
44,500.749,1.05153,1.05586,1.14314,0.0078,0.55619,0.55089,0.7375,0.69637,0.49143,0.57792,0.7625,0.7223,0.43105,1.31128,1.43594,1.90994,0.00834,0,0.000638047,0.000638047,0.000638047
45,511.656,1.07835,1.07885,1.14057,0.00786,0.57161,0.6088,0.80054,0.78358,0.54271,0.62307,0.81304,0.76973,0.40862,1.31386,1.33563,1.727,0.00826,0,0.000627048,0.000627048,0.000627048
46,522.579,1.0872,1.06664,1.1381,0.00805,0.54181,0.52217,0.66875,0.70837,0.53791,0.52904,0.69375,0.75835,0.40617,1.27743,1.196,1.8079,0.00766,0,0.000616049,0.000616049,0.000616049
47,533.549,1.12853,1.07533,1.15963,0.00824,0.53412,0.46467,0.84375,0.75653,0.53429,0.47453,0.85625,0.77144,0.41202,1.42877,1.27184,1.85629,0.00882,0,0.000605051,0.000605051,0.000605051
48,544.499,1.03219,1.06463,1.03211,0.00742,0.5071,0.46745,0.76325,0.59491,0.40198,0.82383,0.50625,0.60515,0.3413,1.32199,1.32185,2.02468,0.00818,0,0.000594052,0.000594052,0.000594052
49,555.454,1.07232,1.05894,1.0951,0.00733,0.51,0.70066,0.56875,0.55252,0.34626,0.71659,0.57957,0.55754,0.27799,1.33517,1.55021,1.89471,0.00834,0,0.000583053,0.000583053,0.000583053
50,566.324,1.08162,1.07022,1.08556,0.00793,0.47837,0.78441,0.4125,0.4909,0.36909,0.81371,0.45,0.52027,0.33802,1.25254,1.32987,2.07076,0.00789,0,0.000572054,0.000572054,0.000572054
51,577.302,1.03062,1.04814,1.02612,0.00781,0.48992,0.49123,0.78125,0.61912,0.4447,0.50646,0.79375,0.64,0.3796,1.29568,1.3565,1.99034,0.00808,0,0.000561055,0.000561055,0.000561055
52,588.21,1.03855,1.01636,1.05205,0.00777,0.49759,0.86595,0.50586,0.58836,0.35916,0.90004,0.51836,0.60128,0.36847,1.50045,1.21659,2.06093,0.0095,0,0.000550056,0.000550056,0.000550056
53,599.163,1.07,1.09588,1.01969,0.00739,0.47139,0.52136,0.74091,0.66824,0.48557,0.54881,0.76372,0.68855,0.43175,1.3009,1.19881,2.03415,0.00789,0,0.000539057,0.000539057,0.000539057
54,610.11,1.02269,1.00933,0.95833,0.00761,0.45399,0.82746,0.51481,0.65885,0.47821,0.84471,0.52706,0.67169,0.40005,1.37587,1.23902,1.80734,0.00858,0,0.000528058,0.000528058,0.000528058
55,621.073,0.99966,0.98555,1.00125,0.00725,0.4809,0.51555,0.77237,0.666,0.4878,0.54809,0.79271,0.68421,0.4023,1.25327,1.3895,2.04536,0.00764,0,0.000517059,0.000517059,0.000517059
56,631.964,1.03709,1.03748,1.06474,0.00726,0.48726,0.45058,0.8125,0.61369,0.42477,0.83657,0.54375,0.62705,0.38681,1.22948,1.21249,1.73881,0.00757,0,0.00050606,0.00050606,0.00050606
57,642.926,0.99788,1.02077,0.97086,0.00735,0.42193,0.51854,0.83125,0.80449,0.59887,0.535,0.84375,0.82616,0.46846,1.20046,1.20953,1.98009,0.00747,0,0.000495062,0.000495062,0.000495062
58,654.276,1.03005,1.03115,0.99297,0.00733,0.41256,0.83169,0.49236,0.5414,0.36486,0.85383,0.51034,0.56707,0.37236,1.32837,1.20834,2.04783,0.00766,0,0.000484063,0.000484063,0.000484063
59,665.442,0.98659,1.03601,0.94806,0.00652,0.40497,0.84871,0.45657,0.59511,0.43741,0.87957,0.4805,0.62017,0.37448,1.22444,1.40256,1.97706,0.00734,0,0.000473064,0.000473064,0.000473064
60,676.31,0.95986,0.98579,0.92106,0.00697,0.41457,0.74504,0.5125,0.58776,0.42427,0.77251,0.53098,0.60421,0.36937,1.21483,1.46117,1.93129,0.00716,0,0.000462065,0.000462065,0.000462065
61,687.286,1.0282,1.04738,0.93517,0.00751,0.43657,0.33032,0.56791,0.59423,0.4492,0.7075,0.4625,0.60568,0.35393,1.25203,1.32278,2.39344,0.00725,0,0.000451066,0.000451066,0.000451066
62,698.17,0.99714,1.03171,0.89567,0.00747,0.42861,0.80925,0.48933,0.6448,0.45849,0.83278,0.50183,0.66361,0.40715,1.39825,1.266,1.97472,0.00856,0,0.000440067,0.000440067,0.000440067
63,709.172,1.0127,1.01275,0.92267,0.00719,0.44694,0.78608,0.54416,0.6059,0.44254,0.78226,0.55402,0.62425,0.40302,1.2878,1.31639,1.90606,0.00773,0,0.000429068,0.000429068,0.000429068
64,720.287,0.95874,0.99926,0.91266,0.00705,0.415,0.77096,0.49662,0.75218,0.58605,0.7126,0.52801,0.75051,0.45461,1.25465,1.25134,2.22082,0.0074,0,0.000418069,0.000418069,0.000418069
65,731.653,0.99869,1.0441,0.92379,0.00689,0.41464,0.60336,0.78125,0.76597,0.55301,0.61603,0.79375,0.78618,0.4343,1.25842,1.33967,1.89811,0.00747,0,0.00040707,0.00040707,0.00040707
66,743.136,0.96972,1.04382,0.91918,0.00691,0.4024,0.48654,0.81343,0.67119,0.45658,0.51549,0.82066,0.69224,0.39799,1.38135,1.24586,1.71283,0.00837,0,0.000396071,0.000396071,0.000396071
